Name	Page #	Glass	Method	Muddle/Egg/Other	Rinse	Rim	Cabeza Blanco Tequila	Cabeza Blanco Tequila (Cacao Nib-Infused)	Cabrito Blanco Tequila	Centinela Reposado Tequila	Chinaco Verde Blanco Tequila	Don Julio Blanco Tequila	El Tesoro Añejo Tequila	El Tesoro Platinum Tequila	El Tesoro Reposado Tequila	Fortalea Reposado Tequila	Ocho 2012 Plata Tequila	Pueblo Viejo Añejo Tequila	Pueblo Viejo Reposado Tequila	Siembra Azul Añejo Tequila	Siembra Azul Blanco Tequila	Siembra Azul Reposado Tequila	Siembra Azul Blanco Tequila (Jalapeño-Infused)	Siembra Azul Blanco Tequila (Lapsang Souchong-Infused)	Siembra Azul Blanco Tequila (Spiced Pear-Infused)	Siembra Azul Reposado Tequila (Queen Of Earl Tea-Infused)	Siete Leguas Blanco Tequila	Siete Leguas Reposado Tequila	Tapatio 110 Blanco Tequila	Del Maguey Chichicapa Mezcal	Del Maguey Crema De Mezcal	Del Maguey Espadin Especial Mezcal	Del Maguey San Luis Del Rio Mezcal	Del Maguey Vida Mezcal	Los Amantes Joven Mezcal	Los Nahuales Mezcal	Sombra Mezcal	Campo De Encanto Acholado Pisco	Clear Creek Apple Brandy	Compo De Encanto Acholado Pisco	Courvoisier Cognac	Kirsch	La Diablada Pisco	Laird's Bonded Apple Brandy	Macchu Pisco	Massenez Kirsch Vieux Cherry Brandy	Pasquet Marie-Framboise	Tariquet VS Classique Bas-Armagnac	Waqar Pisco	Cognac	Guillon-Painturaud Cognac Grande Champagne VSOP	Hine H Cognac	Louis Royer Force 53 Cognac	Macchu Pisco (Scarlet Glow Tea-Infused)	Macchu Pisco (Strawberry and Pineapple-Infused)	Pierre Ferrand 1840 Cognac	Pierre Ferrand Ambre Cognac	Busnel VSOP Calvados	Calvados	Grand Marnier	Anchor Genevieve Gin	Anchor Junipero Gin	Aviation Gin	Beefeater 24 Gin	Beefeater London Dry Gin	Bols Barrel-Aged Genever	Bols Genever	Bombay London Dry Gin	Bruichladdich Botanist Gin	Dorothy Parker Gin	Fords Gin	Hayman's Old Tom Gin	Martin Miller's Westbourne-Strength Gin	Old Raj Gin	Perry's Tot Navy-Strength Gin	Plymouth Gin	Plymouth Sloe Gin	Ransom Old Tom Gin	Sloe Gin	Tanqueray London Dry Gin	Tanqueray No. Ten Gin	Hayman's Old Tom Gin (Pennyroyal-Infused)	Plymouth Gin (Snap Pea-Infused)	Plymouth Gin (Szechuan Peppercorn-Infused)	Linie Aquavit	Krogstad Aquavit	Angostura 5-Year Rum	Appleton Estate Reserve Rum	Appleton Estate V/X Rum	Appleton White Rum	Avuá Amburana Cachaca	Bacardi Ron Superior Limited Edition	Banks 5-Island White Rum	Barbancourt 3-Star Rum	Barbancourt White Rum	Caña Brava Rum	Cruzan Black Strap Rum	Cruzan Single-Barrel Rum	Diplomático Reserva Exclusiva Rum	El Dorado 3-Year Rum	El Dorado 12-Year Rum	El Dorado 15-Year Rum	El Dorado 151 Rum	El Dorado High-Strength 151 Rum	Flor De Caña 7-Year Rum	Flor De Caña Extra-Dry White Rum	Flor De Caña Extra-Dry White Rum (Pineapple-Infused)	Flor De Caña White Rum (Royale Tea-Infused)	Gosling's Black Seal Rum	Gosling's Black Seal Rum (Banana Chip-Infused)	La Favorite Rhum Agricole Blanc	Lemon Hart 151 Rum	Lemon Hart Original Rum	Matusalem Gran Reserva 15-Year Rum	Mount Gay Eclipse Rum	Neisson Rhum Agricole Blanc	Pampero Aniversario Rum	Plantation Barbados 5-Year Rum	Rhum Barbancourt (Granny Smith Apple-Infused)	Rhum JM 100-Proof Agricole Blanc	Ron Del Barrilito 3-Star Rum	Santa Teresa Rum	Santa Teresa 1796 Rum	Scarlet Ibis Rum	Smith & Cross Rum	St. James Royal Ambre Rhum Agricole	Zacapa 23-Year Rum	Van Oosten Batavia Arrack	Alchemia Chocolate Vodka	Charbay Vodka	Baker's Bourbon	Bernheim Original Wheat Whiskey	Bernheim Original Wheat Whiskey (Lavender-Infused)	Bowmore 12-Year Scotch	Bruichladdich Port Charlotte 7-Year Scotch	Buffalo Trace Bourbon	Buffalo Trace Bourbon (Pecan-Infused)	Bulleit Bourbon	Bushmills Irish Whiskey	Caol Ila 12-Year Scotch	Clontarf 1014 Irish Whiskey	Compass Box Asyla Scotch	Eagle Rare 10-Year Bourbon	Elijah Craig 12-Year Bourbon	Elijah Craig Bourbon (Fig-Infused)	Evan Williams Single-Barrel Bourbon	Famous Grouse Scotch	Famous Grouse Scotch (Apricot-Infused)	Famous Grouse Scotch (Coconut Green Tea-Infused)	Famous Grouse Scotch (Fuji Apple-Infused)	High West Silver Oat Whiskey	Highland Park 12-Year Scotch	Knappogue Castle 12-Year Irish Whiskey	Laphroaig 10-Year Scotch	Laphroaig 12-Year Scotch	Macallan Fine Oak 10-Year Scotch	Old Grand-Dad 114 Bourbon	Old Overholt Rye	Old Overholt Rye (Chamomile-Infused)	Old Weller Antique 107 Bourbon	Redbreast 12-Year Irish Whiskey	Rittenhouse 100 Rye	Rittenhouse Rye (Red Thai Chile-Infused)	Russell's Reserve 10-Year Bourbon	Russell's Reserve Rye	Sazerac 6-Year Rye	Springbank 10-Year Scotch	Stagg Bourbon	Suntory Hakashu 12-Year Whisky	Templeton Rye	Wild Turkey Rye 101	Wild Turkey Rye (Dried Currant-Infused)	Woodford Reserve Bourbon	Yamazaki 12-Year Whiskey	St. George Absinthe	Vieux Pontarlier Absinthe	Dry Champagne	Sparkling Rosé	San Pellegrino Pompelmo Grapefruit Soda	Club Soda	Alvear Festival Pale Cream Sherry	Barbadillo Principe Amontillado Sherry	Blandy's 5-Year Malmsey Madeira	Bonal Gentiane-Quina	Cardamaro	Cocchi Americano	Cocchi Americano Rosa	East India Solera Sherry	Fusion Verjus Blanc	La Cigarrera Manzanilla Sherry	La Gitana Manzanilla Sherry	Lillet Blanc	Lillet Rosé	Lillet Rosé (Rose-Infused)	Lillet Rouge	Lustau Amontillado Sherry	Lustau East India Solera Sherry	Lustau Los Arcos Amontillado Sherry	Lustau Manzanilla Sherry	Lustau Oloroso Sherry	Morenita Cream Sherry	Morro Bay Chardonnay	Otima 10-Year Tawny Port	Pasquet Pineau Des Charentes	Punt E Mes	Punt E Mes (Grapefruit-Infused)	Red Rioja Wine	Ruby Port	Sandeman Rainwater Madeira	Sandeman Ruby Port	Sauvignon Blanc	Williams & Humbert Dry Sack Medium Sherry	Bianco Vermouth (Chamomile-Infused)	Caprano Antica Formula Vermouth	Carpano Antica Formula Vermouth (Coffee-Infused	Cocchi Bermouth Di Torino	Contratto Americano Rosso Vermouth	Contratta Vermouth Bianco	Dolin Blanc Vermouth	Dolin Blanc Vermouth (Basil-Infused)	Dolin Blanc Vermouth (Earl Grey-Infused)	Dolin Blanc Vermouth (Sage-Infused)	Dolin Dry Vermouth	Dolin Dry Vermouth (Watermelon-Infused)	Dolin Rouge Vermouth	Dolin Rouge Vermouth (Ancho Chile-Infused)	Dry Vermouth	House Sweet Vermouth	Martini Sweet Vermouth	Sweet Vermouth (Cinnamon Orange Tea-Infused)	Marie Brizard White Créme De Cacao	Marie Brizard White Créme De Menthe	Lemon Juice	Lime Juice	Grapefruit Juice	Pineapple Juice	Orange Juice	Apple Juice	Blood Orange Juice	Boiron Kalamansi Puree	Cantaloupe Juice	Celery Juice	Coco Lopez	Coconut Water	Fuji Apple Juice	Granny Smith Apple Juice	Horchata	Watermelon Juice	Honey Nut Cheerio-Infused Cream	Heavy Cream	Blanche De Bruzelles Beer	Doc's Hard Apple Cider	Doc's Hard Pear Cider	Full Sail Session Black Lager	Green Flash IPA	Mackeson Stout	Negra Modelo Beer	Amaretto	Amaro Averna	Amaro Ciociaro	Amaro Lucano	Amaro Meletti	Amaro Nardini	Amaro Nonino	American Fruits Black Currant Cordial	Aperol	Bénédictine	Campari	Campari (Cacao Nib-Infused)	Campari (Coffee and Chile-Infused)	Cardamaro	Cherry Heering	Cointreau	Combier Pamplemousse Rose Liqueur	Créme De Cassis	Créme Yvette	Cynar	Dolin Geenepy Des Alpes Liqueur	Drambuie	Élixir Combier	Fernet-Branca	Gabriel Boudier Curacao	Galliano L'Autentico	Galliano Ristretto	Green Chartreuse	Kalani Ron De Coco Coconut Liqueur	Koval Rose Hip Liqueur	Kronan Swedish Punsch	Kummel Liqueur	Lazzaroni Amaretto	Luxardo Amaro Abano	Luxardo Maraschino Liqueur	Mandarine Napoléon Liqueur	Maraska Maraschino Liqueur	Marie Brizard Apricot Liqueur	Massenez Crème De Mure Blackberry Liqueur	Massenez Créme de Peche Peach Liqueur	Mathilde Poire Pear Liqueur	Merlet Crème de Fraise Des Bois Strawberry Liqueur	Pierre Ferrand Dry Curacao	Ramazzotti	Rhum Clement Creole Shrubb	Rothman & Winter Apricot Liqueur	Rothman & Winter Cherry Liqueur	Rothman & Winter Crème de Violette	Rothman & Winter Pear Liqueur	Royal Combier	Salers Gentien Aperitif	Santa Teresa Orange Liqueur	Solerno Blood Orange Liqueur	St. Elizabeth Allspice Dram	St-Germain	Strega	Yellow Chartreuse	Suze Saveur D'Autrefois Liqueur	Zirbenz Stone Pine Liqueur	Zoco Pacharán Navarro Liqueur	Acacia Honey Syrup	Agave Nectar	Agave Syrup	Banana Syrup	Blueberry Syrup	Braeburn Apple Syrup	Cane Sugar Syrup	Cinnamon Bark Syrup	Cumin Syrup	Curried Ginger Syrup	Demerara Syrup	Espresso-Infused Demerara Syrup	Ginger Syrup	Grade B Maple Syrup	Grenadine	Hibiscus Syrup	Kumquat Cordial	Maple Syrup	Orgeat	Passion Fruit Syrup	Pomegranate Molasses	Rich Simple Syrup	Scarlet Glow Syrup	Toby's Lime Cordial	Simple Syrup	Vanilla Syrup	Velvet Falernum	Sugar	Acid Phosphate	Aged Balsamic Vinegar	Apple Butter	Becherovka	Bergerac Mix	Donn's Mix #1	Donn's Spices #1	Donn's Spices #2	Greek Yogurt	Lemon Curd	Nutmeg	Orange Flower Water	Orange Marmalade	Pendennis Mix	Pumpkin Butter	Pumpkin Puree	Red Bell Pepper Puree	Rose Water	Strawberry-Balsamic Gastrique	Tabasco Chipotle Sauce	Tarragon and Agave Nectar Gastrique	Toby's Sour Cherry Shrub	Zombie Mix	Angostura	Peychaud's	Orange Bitters	Abbott's Bitters	Bar Code Baked Apple Bitters	Becherovka Bitters	Bitter Truth Aromatic Bitters	Bitter Truth Celery Bitters	Bitter Truth Jerry Thomas' Bitters	Bittercube Cherry Bark and Vanilla Bitters	Bittermens 'Elemakule Tiki Bitters	Bittermens Hellfire Habanero Shrub	Bittermens Hopped Grapefruit Bitters	Bittermens Xocolatl Mole Bitters	Dale Degroff's Pimento Bitters	Fee Brothers Whiskey Barrel-Aged Bitters	Gran Classico Bitter	Regans' Orange Bitters	Scrappy's Lavender Bitters	Twist	Garnish
Bamboo	140	Rocks	Stirred																																																																																																																																																																																			1 1/2 oz																																					1 1/2 oz																																																																																																									1/2 tsp																																													1 dash		1 dash																	Lemon Twist	←
Bobby Burns	140	Martini	Stirred																																																																																																																																																																				2 oz																																																													3/4 oz																																																			1/4 oz																																																																																										1 dash																			Lemon Twist	←
Boulevardier	140	Coupe	Stirred																																																																																																																																													1 1/2 oz																																																																																				3/4 oz																																								3/4 oz																																																																																																																								Lemon Twist	←
Brown Derby	140	Coupe	Shaken																																																																																																																																													2 oz																																																																																									1 tsp		1 oz																																																																																			1/2 oz																																																																						Grapefruit Twist	←
Champs-Élysées	141	Coupe	Shaken																																																						2 oz																																																																																																																																																																																3/4 oz																																																				1/2 oz																																							1/2 oz																																													1 dash																			Lemon Twist	←
Fancy-Free	142	Double Rocks	Stirred																																																																																																																																																															2 oz																																																																																																																																		1/2 oz																																																																													1 dash		1 dash																	Orange Twist	←
French 75	143	Flute	Shaken																																																																									1 1/2 oz																																																																																																					Fill																																																								3/4 oz																																																																																											1/2 oz																																																																Lemon Twist	←
Hanky-Panky	144	Nick And Nora	Stirred																																																																				2 oz																																																																																																																																															1/2 oz			1/2 oz																																																																1/4 oz																																																																																																											Lemon Twist	←
La Rosita	144	Nick And Nora	Stirred												2 oz																																																																																																																																																																																																									1/2 oz							1/2 oz																																													1/2 oz																																																																																																					1 dash																			Orange Twist	←
Lucien Gaudin	144	Nick And Nora	Stirred																																																																													1 1/2 oz																																																																																																																																															1/2 oz																																													1/2 oz					1/2 oz																																																																																																																			Lemon Twist	←
Martinez	145	Nick And Nora	Stirred																																											1/2 tsp																										1 1/2 oz						1/2 oz																																																																																																																																																						1 oz																																																																1/2 tsp																																																																															1 dash																	Lemon Twist	←
Martini	145	Martini	Stirred																																																														2 1/2 oz (Optional)											2 1/2 oz (Optional)				2 1/2 oz (Optional)																																																																																																																																															3/4 oz																																																																																																																																																				1 dash																	Lemon Twist	←
Negroni	147	Double Rocks	Stirred																																																																													1 1/2 oz																																																																																																																																																				1 oz																																								1 oz																																																																																																																								Orange Twist	←
Old-Fashioned	147	Double Rocks	Stirred																																																																																																																																												2 oz																																																																																																																																																																																									1 tsp																																									2 dashes						1 dash													Lemon and Orange Twist	←
Old Pal	148	Nick And Nora	Stirred																																																																																																																																																															1 1/2 oz																																																													3/4 oz																																													3/4 oz																																																																																																																								Lemon Twist	←
Ping-Pong Cocktail	148	Coupe	Stirred																																																																										2 oz																																																																																																																																1/2 oz																		1/2 oz																																																																																																																																																				2 dashes																	Lemon Twist	←
Preakness	149	Coupe	Stirred																																																																																																																																																										1 1/2 oz																																																									3/4 oz																																																					1/4 oz																																																																																																												1 dash													Orange Twist	←
Remember The Name	150	Nick And Nora	Stirred		Vieux Pontarlier Absinthe																																									1/4 oz																																																																																																																				2 oz														2 dashes																																								3/4 oz																																																								1/4 oz																																																																																																																				Lemon Twist	←
Rusty Nail	151	Double Rocks	Stirred																																																																																																																																																																				2 oz																																																																																																																3/4 oz																																																																																																1 dash													Lemon Twist	←
Sidecar	151	Coupe	Shaken																																																					2 oz																																																																																																																																																																																	3/4 oz																																								1/2 oz																																																			1/4 oz																																																																Orange Twist	←
Tailspin	152	Coupe	Stirred		Campari																																																												1 1/2 oz																																																																																																																																																					1 oz																																																																							1 oz																																																																																						1 dash																	Lemon Twist	←
Toronto	152	Nick And Nora	Stirred																																																																																																																																																															2 oz																																																																																																																							1/2 oz																																															1 tsp																																																												Lemon Twist	←
Vesper	152	Nick And Nora	Stirred																																																																									1 1/2 oz																																																						3/4 oz																																																								1/2 oz																																																																																																																																																																																																										Lemon Twist	←
Vieux Carré	153	Double Rocks	Stirred																																																						1 oz																																																																																																									1 oz																																																				1 oz																																																					1 tsp																																																																																																						1 dash	1 dash																		Lemon Twist	←
Hostage Situation	163	Double Rocks	Stirred																																																																											2 oz																																																																																																																																								1/2 oz	1/2 oz																																																																																							1/4 oz																																																																			1 dash																	2 dashes		Orange Twist	←
Howlin' At The Moon	163	Double Rocks	Stirred	1 Lemon Twist																																																														2 oz																																																																																																																																																																					2 tsp																																																																																													1/2 tsp																																																						2 dashes										Orange Twist	←
Imperial March	163	Fancy Fizz	Stirred																																																																						1 1/2 oz																																																																																																												1 oz					3/4 oz																																																																																																										1 tsp																																																																															1 dash																	Grapefruit Twist	←
Le Bateleur	165	Coupe	Stirred																																																														2 oz																																																																																																																																												3/4 oz																																																																								1/4 oz																																				1/2 oz																																																								1 dash																			Orange Twist	←
Le Subtil	165	Coupe	Stirred																																																																2 oz																																																																																																																						1/2 oz																													1/2 oz																																																																																																																																																																							2 dashes							Grapefruit Twist	←
The Joy Division	165	Coupe	Stirred																																																														2 oz																																																																																																															3 dashes																																															1 oz																																																		1/2 oz																																																																																																																			Lemon Twist	←
May Fair	166	Double Rocks	Stirred																																																																													1 oz					1/2 oz	1/2 oz																																																																																																																																														1 oz																																							1/4 oz																																																																																																						2 dashes	2 dashes																		Orange Twist	←
Sentimental Journey	169	Coupe	Stirred																																																																														1 1/2 oz																																																																																																																									1 oz																																																																																																																											1/2 oz																																																															Lemon Twist	←
Wooden Ship	169	Rocks	Stirred																																																									1/2 oz							1 oz														1 oz																																																																																																																																																																																																																																																			1/2 tsp																																																												1 dash				Lemon Twist	←
Arrack Strap	175	Old-Fashioned	Stirred																																																																																														1 oz																															1 oz																																																																																								1 oz																																																				1 tsp																																																												1/2 oz																																											2 dashes											2 dashes						Orange Twist	←
Cortado	176	Coupe	Stirred																																																																																																													1/2 oz					2 oz																																																																																																		1/2 oz																1/4 oz																																																																																																	1/2 tsp																																									1 dash													1 dash						Orange Twist	←
Hadley's Tears	178	Double Rocks	Stirred																																																																1 oz																						1 oz																																																																																						1/2 tsp																																																																																																													1 tsp																																								1/4 oz																																																			1 dash													Orange Twist	←
Midnight Mass	178	Coupe	Stirred																																																																																																																									2 oz																																																																																																																																															1/4 oz				3/4 oz																																																																																																										1 dash											Orange Twist	←
Passing Aden	179	Coupe	Stirred	1 Cinnamon Stick																																																																																																																												2 oz																																																																																																						1 oz																																																																																																		1/4 oz																																															2 dashes													Lemon Twist	←
Chingon	182	Coupe	Shaken																									2 oz																																																																																																																																																																																																														1/2 oz			1/2 oz																														1/4 oz																																																																					1/2 oz																																																				Orange Twist	←
Last Train To Oaxaca	192	Coupe	Stirred															1 1/2 oz																	1/2 oz																																																																																																																																																													3/4 oz																																																																																																																																																																	1 tsp																																			Orange Twist	←
Nitty-Gritty	192	Coupe	Stirred																													1 1/2 oz																																																																																																																																																														1 1/2 oz																																																																													1/2 oz																																							1/2 tsp													1/2 tsp																																																						1 dash		1 dash													Lemon Twist	←
Prima China	193	Coupe	Stirred																	2 oz																																																																																																																																																																																																									3/4 oz										1 tsp																																														1/4 oz																																																																																																									1 dash						Grapefruit Twist	←
Saramago	193	Coupe	Stirred		Del Maguey Vida Mezcal																2 oz																																																																																																																																																																																																						3/4 oz																																																																																													1/2 oz																																																											1 dash																	Grapefruit Twist	←
Spaghetti Western	194	Old-Fashioned	Stirred																									1 oz								1/2 oz																																																																																																																																																																																																																																				3/4 oz																																																																																																											1 dash																	Grapefruit Twist	←
Spanish Caravan	195	Coupe	Stirred																					2 oz																																				1/4 oz																																																																																																																																																																																																															1/4 oz						1/4 oz																	1/4 oz																																																																															1 dash																			Orange Twist	←
Te Amo	195	Martini	Stirred										2 oz																																																																																																																																																																																																											3/4 oz															2 tsp																																														1 tsp																																																																																														1 dash									1 dash		1 dash						Orange Twist	←
Terrible Love	195	Old-Fashioned	Stirred																											1 1/2 oz																																																																																																																																																																																																																																																																																										1/2 oz			3/4 oz																																																								1 dash																	Grapefruit Twist	←
Blazing Saddles	197	Coupe	Shaken																																																																																																																																																				2 oz																																																																																		3/4 oz																																									1/2 oz																																																			1/2 oz																																																						1 dash									Grapefruit Twist	←
Deadpan Fix	199	Coupe	Shaken																																																									1/4 oz																																																																																																						1 1/2 oz																																																																							1/2 oz		3/4 oz																																	1/4 oz																																																														1/4 oz																																																										Orange Twist	←
Vejk Slink	203	Highball	Shaken																																																																																																																																											2 oz																																						Fill																																	1 oz																				1/2 oz																																																																																																																																										1 dash																	Lemon Twist	←
Bella Cohen	204	Coupe	Stirred																																																																																																																																																						1 1/2 oz																												1 1/2 oz																																																																																												1/2 oz																																							1 tsp																																																										1 dash																		Lemon Twist	←
Black Market Manhattan	204	Coupe	Stirred																																																																																																																																	2 oz																																																																																																		1 oz																																																																																																																																											1 dash																			Lemon Twist	←
Cure For Pain	205	Coupe	Stirred																																																																																																																																																															1 1/2 oz						1/2 oz																																			1/2 oz											1/2 oz																	1 tsp																																					1 tsp																																																																																																																								Orange Twist	←
Four In Hand	206	Rocks	Stirred																																									3/4 oz																																																																																	1/4 oz																																3/4 oz																																																																																																																																1/4 oz																																								1 tsp																		1 tsp																																													Orange Twist	←
Golden Gate	211	Highball	Shaken																																																									3/4 oz																																																																																																																																																																														1/2 oz	3/4 oz																																1/2 oz	1/2 oz																																																																																																																								Lime Twist	←
Mucho Picchu	213	Flute	Shaken																																										1 1/2 oz																																																																																																																																				Fill																																																										1/2 oz																																																									1/4 oz																																																		1/2 oz																																														Grapefruit Twist	←
Little Sparrow	218	Coupe	Stirred																																									1/4 oz														2 oz																																																																																																																																																												3/4 oz																																																																																																		1/2 oz																																																										2 dashes																		Lemon Twist	←
Soul Clench	219	Double Rocks	Stirred																																														2 oz																																																																																																																																																																														3/4 oz																																																			1/2 oz																																						1/2 oz																																1/4 oz																																												Grapefruit Twist	←
Elder Fashion Royale	222	Flute	Stirred																																																																									1 1/2 oz																																																																																																					Fill																																																																																																																																							1/2 oz																																																											1 dash																	Grapefruit Twist	←
Irish Seelbach	223	Flute	Stirred																																																																																																																																										1 oz																																				Fill																																																																																																1/2 oz																																																																																																4 dashes	4 dashes																		Orange Twist	←
Live Free Or Die	224	Flute	Shaken																																																																																																																																												1 1/2 oz																																	1 dash	Fill																															1/2 oz																																																																																																1/2 oz																																																																																				Orange Twist	←
South Sider	227	Coupe	Stirred																																																																																																		2 oz																																																																												1/2 oz																																					1 oz																																																																																																																																																											1 dash	1 dash																		Orange Twist	←
Trapeze	227	Flute	Stirred																																																																																																																																																																														Fill																																																																																											1/2 oz																																							1/2 oz							1/2 oz																																																																						1 dash				Orange Twist	←
Cynaro De Bergerac	229	Nick And Nora	Stirred																																																															1 oz						1/2 oz																																																																																																								1 dash																																																																																											1/2 oz																																																																																																																			1 dash						Orange Twist	←
Midnight Mountain	231	Double Rocks	Stirred																																																																																																																																																																																																																			1 oz																	1/4 oz	1/4 oz																															1 1/2 oz																																																																																																																													Orange Twist	←
Schuman's Alley	231	Nick And Nora	Stirred																																																																				1 oz																																																																																																																			3/4 oz																																3/4 oz					3/4 oz																																																																																											1/2 oz																																																																			1 dash		1 dash					Lemon Twist	←
